id,title,author,borrowed,isbn,pages
1,Moby Dick,Herman Melville,false,978-1503280786,458
2,The Great Gatsby,F. Scott Fitzgerald,false,978-0743273565,180
3,To Kill a Mockingbird,Harper Lee,true,978-0061935466,336
4,The Hobbit,J.R.R. Tolkien,true,978-0547928227,310
5,1984,George Orwell,false,978-0451524935,328
6,Frankenstein,Mary Shelley,true,978-0143131847,288
7,Of Mice and Men,John Steinbeck,true,978-0140177398,112
8,The Picture of Dorian Gray,Oscar Wilde,false,978-0141439570,254
9,The Odyssey,Homer,false,978-0140268867,416
10,The Alchemist,Paulo Coelho,false,978-0062315007,208
11,The Catcher in the Rye,J.D. Salinger,true,978-0316769174,277
12,Anna Karenina,Leo Tolstoy,false,978-0143035008,864
13,Pride and Prejudice,Jane Austen,false,978-0141439518,432
14,Crime and Punishment,Fyodor Dostoevsky,true,978-0143107637,551
15,The War of the Worlds,H.G. Wells,false,978-0141441030,192
16,Fahrenheit 451,Ray Bradbury,false,978-1451673319,158
17,Jane Eyre,Charlotte Bronte,true,978-0142437209,507
18,The Count of Monte Cristo,Alexandre Dumas,true,978-0140449266,1276
19,Dracula,Bram Stoker,false,978-0141439846,454
20,Brave New World,Aldous Huxley,false,978-0060850524,311
21,Atomic Habits,James Clear,false,978-0735211292,320
